Epoch 1, Average Loss: 6.924088
Epoch 2, Average Loss: 6.186677
Epoch 3, Average Loss: 5.775929
Epoch 4, Average Loss: 5.445750
Epoch 5, Average Loss: 5.154928
Epoch 6, Average Loss: 4.837848
Epoch 7, Average Loss: 4.599427
Epoch 8, Average Loss: 4.378118
Epoch 9, Average Loss: 4.154674
Epoch 10, Average Loss: 3.939910
Epoch 11, Average Loss: 3.663478
Epoch 12, Average Loss: 3.465593
Epoch 13, Average Loss: 3.278341
Epoch 14, Average Loss: 3.104714
Epoch 15, Average Loss: 2.927676
Epoch 16, Average Loss: 2.696042
Epoch 17, Average Loss: 2.537445
Epoch 18, Average Loss: 2.394367
Epoch 19, Average Loss: 2.256899
Epoch 20, Average Loss: 2.119959
Epoch 21, Average Loss: 1.933894
Epoch 22, Average Loss: 1.818002
Epoch 23, Average Loss: 1.710016
Epoch 24, Average Loss: 1.607898
Epoch 25, Average Loss: 1.516412
Epoch 26, Average Loss: 1.374620
Epoch 27, Average Loss: 1.290806
Epoch 28, Average Loss: 1.215115
Epoch 29, Average Loss: 1.144822
Epoch 30, Average Loss: 1.078060
Epoch 31, Average Loss: 0.983251
Epoch 32, Average Loss: 0.924884
Epoch 33, Average Loss: 0.875207
Epoch 34, Average Loss: 0.823733
Epoch 35, Average Loss: 0.779984
Epoch 36, Average Loss: 0.712789
Epoch 37, Average Loss: 0.674720
Epoch 38, Average Loss: 0.642396
Epoch 39, Average Loss: 0.610138
Epoch 40, Average Loss: 0.580540
Epoch 41, Average Loss: 0.535701
Epoch 42, Average Loss: 0.510313
Epoch 43, Average Loss: 0.486651
Epoch 44, Average Loss: 0.466096
Epoch 45, Average Loss: 0.445878
Epoch 46, Average Loss: 0.418431
Epoch 47, Average Loss: 0.399925
Epoch 48, Average Loss: 0.383940
Epoch 49, Average Loss: 0.370139
Epoch 50, Average Loss: 0.357822
Epoch 51, Average Loss: 0.337570
Epoch 52, Average Loss: 0.324928
Epoch 53, Average Loss: 0.314944
Epoch 54, Average Loss: 0.303376
Epoch 55, Average Loss: 0.294834
Epoch 56, Average Loss: 0.282027
Epoch 57, Average Loss: 0.272969
Epoch 58, Average Loss: 0.264705
Epoch 59, Average Loss: 0.258982
Epoch 60, Average Loss: 0.252771
Epoch 61, Average Loss: 0.242048
Epoch 62, Average Loss: 0.235156
Epoch 63, Average Loss: 0.230279
Epoch 64, Average Loss: 0.225305
Epoch 65, Average Loss: 0.221084
Epoch 66, Average Loss: 0.214065
Epoch 67, Average Loss: 0.208710
Epoch 68, Average Loss: 0.205703
Epoch 69, Average Loss: 0.201332
Epoch 70, Average Loss: 0.197640
Epoch 71, Average Loss: 0.192287
Epoch 72, Average Loss: 0.188421
Epoch 73, Average Loss: 0.185721
Epoch 74, Average Loss: 0.182875
Epoch 75, Average Loss: 0.181317
Epoch 76, Average Loss: 0.176959
Epoch 77, Average Loss: 0.174601
Epoch 78, Average Loss: 0.172592
Epoch 79, Average Loss: 0.170777
Epoch 80, Average Loss: 0.168353
