Epoch 1, Average Loss: 6.319076
Epoch 2, Average Loss: 5.898998
Epoch 3, Average Loss: 5.707562
Epoch 4, Average Loss: 5.558702
Epoch 5, Average Loss: 5.433837
Epoch 6, Average Loss: 5.255840
Epoch 7, Average Loss: 5.135722
Epoch 8, Average Loss: 5.033298
Epoch 9, Average Loss: 4.927483
Epoch 10, Average Loss: 4.825724
Epoch 11, Average Loss: 4.649474
Epoch 12, Average Loss: 4.537831
Epoch 13, Average Loss: 4.430920
Epoch 14, Average Loss: 4.326065
Epoch 15, Average Loss: 4.227869
Epoch 16, Average Loss: 4.039755
Epoch 17, Average Loss: 3.927403
Epoch 18, Average Loss: 3.828169
Epoch 19, Average Loss: 3.739168
Epoch 20, Average Loss: 3.648552
Epoch 21, Average Loss: 3.486033
Epoch 22, Average Loss: 3.392523
Epoch 23, Average Loss: 3.310249
Epoch 24, Average Loss: 3.235628
Epoch 25, Average Loss: 3.164074
Epoch 26, Average Loss: 3.029155
Epoch 27, Average Loss: 2.956660
Epoch 28, Average Loss: 2.897282
Epoch 29, Average Loss: 2.840940
Epoch 30, Average Loss: 2.792776
Epoch 31, Average Loss: 2.685688
Epoch 32, Average Loss: 2.638150
Epoch 33, Average Loss: 2.590160
Epoch 34, Average Loss: 2.546998
Epoch 35, Average Loss: 2.515381
Epoch 36, Average Loss: 2.433791
Epoch 37, Average Loss: 2.396956
Epoch 38, Average Loss: 2.364903
Epoch 39, Average Loss: 2.339231
Epoch 40, Average Loss: 2.310188
Epoch 41, Average Loss: 2.246323
Epoch 42, Average Loss: 2.220575
Epoch 43, Average Loss: 2.197932
Epoch 44, Average Loss: 2.176079
Epoch 45, Average Loss: 2.153650
Epoch 46, Average Loss: 2.109515
Epoch 47, Average Loss: 2.092513
Epoch 48, Average Loss: 2.069405
Epoch 49, Average Loss: 2.056194
Epoch 50, Average Loss: 2.042778
